FirstName,LastName,Gender,DateofBirth,FatherFirstName,FatherLastName,FatherOccupation,MotherFirstName,MotherLastName,MotherOccupation
George,ALCORN,M,1712-08-21,Hugh,ALCORN,carpenter,Mary,ELLIOT,weaver
Peter,RICH,M,1713-10-22,James,RICH,time keeper (civil engineering),Isabella,FAGAN,teacher
George,MARCH,M,1719-06-06,Andrew,MARCH,bricklayer,Margaret,MITCHELL,domestic servant
James,MAHAFFEY,M,1714-09-21,Hugh,MAHAFFEY,curate,Matilda,FARBROTHER,servant
Thos,CAMPBELL,M,1727-02-17,Robt,CAMPBELL,bookseller,Janet,CONWAY,domestic servant
Luis,REAKES,F,1724-03-31,Willi,REAKES,labourer,Elizabeth,SCHULEN,fitter at steelplant
Martha,GRIFFITHS,F,1735-06-28,Leslie,GRIFFITHS,indian army engineer,Euphemia,HARDY,brewery labourer
James,THOMAS,M,1714-06-09,Matthew,THOMAS,farmer,C,PHILLIPS,domestic servant
Angus,ADAMSON,M,1723-10-29,George,ADAMSON,lady's maid,Jane,HARRISS,plasterer
John,HILL,M,1719-03-16,John,HILL,chainmaker,Mary,HOWEL,boilermaker
Anne,ALCORN,F,1728-03-13,Hugh,ALCORN,carpenter,Mary,ELLIOT,weaver
Jas,WHATTON,M,1721-10-22,John,WHATTON,carpenter,Elisabeth,STEPHENSON,mariner
Mark,TONGE,M,1721-05-30,John,TONGE,parish clerk,Sophia,ROBINSON,locksmith
John,HUNTLEY,M,1723-01-10,Samuel,HUNTLEY,shepherd,Jane,BAKER,coal miner
William,RICH,M,1724-02-27,James,RICH,time keeper (civil engineering),Isabella,FAGAN,teacher
Catherine,FOSTER,F,1725-11-13,Hugh,FOSTER,labourer,Eliz,TROOP,oriform machinist
Mary,CARTER,F,1724-01-10,Robert,CARTER,servant,Emma,SELKIRK,fisherman
Isabella,THOMAS,F,1718-10-31,Matthew,THOMAS,farmer,C,PHILLIPS,domestic servant
John,THOMAS,M,1718-10-31,Matthew,THOMAS,farmer,C,PHILLIPS,domestic servant
Jane,BELL,F,1727-01-13,John,BELL,lab,Helen,HARDCASTLE,carpenter
William,JONE,M,1726-05-14,Duncan,JONE,saddler,Jane,PARDOE,gardener
Isabella,DANNILS,F,1724-03-14,Robert,DANNILS,warehouseman,Marion,LOCK,foreman mechanic
Willia,MAHAFFEY,M,1720-01-11,Hugh,MAHAFFEY,curate,Matilda,FARBROTHER,servant
Margaret,WILKIE,F,1731-01-20,Henry,WILKIE,bricklayer,Isabella,BOTT,orchestra attendant
