FirstName,Gender,FatherLastName,FatherFirstName,MotherLastName,FatherOccupation,MotherOccupation,DateofBirth,MotherFirstName,LastName,Occupation
George,M,ALCORN,Hugh,ELLIOT,carpenter,weaver,1712-08-21,Mary,ALCORN,school teacher
Peter,M,RICH,James,FAGAN,time keeper (civil engineering),teacher,1713-10-22,Isabella,RICH,gasfitter
George,M,MARCH,Andrew,MITCHELL,bricklayer,domestic servant,1719-06-06,Margaret,MARCH,cork hawker
James,M,MAHAFFEY,Hugh,FARBROTHER,curate,servant,1714-09-21,Matilda,MAHAFFEY,labourer
Thos,M,CAMPBELL,Robt,CONWAY,bookseller,domestic servant,1727-02-17,Janet,CAMPBELL,marine stores dealer
Luis,F,REAKES,Willi,SCHULEN,labourer,fitter at steelplant,1724-03-31,Elizabeth,REAKES,mill hand
Martha,F,GRIFFITHS,Leslie,HARDY,indian army engineer,brewery labourer,1735-06-28,Euphemia,GRIFFITHS,blacksmith
James,M,THOMAS,Matthew,PHILLIPS,farmer,domestic servant,1714-06-09,C,THOMAS,farm worker
Angus,M,ADAMSON,George,HARRISS,lady's maid,plasterer,1723-10-29,Jane,ADAMSON,farmer
John,M,HILL,John,HOWEL,chainmaker,boilermaker,1719-03-16,Mary,HILL,servant
Anne,F,ALCORN,Hugh,ELLIOT,carpenter,weaver,1728-03-13,Mary,ALCORN,farmer
Jas,M,WHATTON,John,STEPHENSON,carpenter,mariner,1721-10-22,Elisabeth,WHATTON,council gardener
Mark,M,TONGE,John,ROBINSON,parish clerk,locksmith,1721-05-30,Sophia,TONGE,army officer
John,M,HUNTLEY,Samuel,BAKER,shepherd,coal miner,1723-01-10,Jane,HUNTLEY,basket maker
William,M,RICH,James,FAGAN,time keeper (civil engineering),teacher,1724-02-27,Isabella,RICH,plumber
Catherine,F,FOSTER,Hugh,TROOP,labourer,oriform machinist,1725-11-13,Eliz,FOSTER,boat builder
Mary,F,CARTER,Robert,SELKIRK,servant,fisherman,1724-01-10,Emma,CARTER,pub worker
Isabella,F,THOMAS,Matthew,PHILLIPS,farmer,domestic servant,1718-10-31,C,THOMAS,managing director (rolling stock firm)
John,M,THOMAS,Matthew,PHILLIPS,farmer,domestic servant,1718-10-31,C,THOMAS,cottager
Jane,F,BELL,John,HARDCASTLE,lab,carpenter,1727-01-13,Helen,BELL,farmer
William,M,JONE,Duncan,PARDOE,saddler,gardener,1726-05-14,Jane,JONE,bricklayer
Isabella,F,DANNILS,Robert,LOCK,warehouseman,foreman mechanic,1724-03-14,Marion,DANNILS,carpenter
Willia,M,MAHAFFEY,Hugh,FARBROTHER,curate,servant,1720-01-11,Matilda,MAHAFFEY,weaver
Margaret,F,WILKIE,Henry,BOTT,bricklayer,orchestra attendant,1731-01-20,Isabella,WILKIE,cabinet maker
Ernest,M,TAYLOR,John,PICKTON,mason,farmer,1720-04-08,Elizabeth,TAYLOR,farmer
Eliza,F,HARD,George,HUTTON,mason,blacksmith,1725-11-27,Annie,HARD,labourer
Thomas,M,WHARTON,Ronald,OLIVER,merchant,"royal marines, private",1733-08-28,Mary,WHARTON,shoemaker
Mary,F,LAWSLEY,James,MCNAB,poulterer,bus conductor,1729-12-20,Margaret,LAWSLEY,chase keeper
Donald,M,GREEN,James,WILLIAMS,smith,brickmaker,1722-11-07,Jane,GREEN,carpenter
Charlotte,F,TUCKER,James,MOUNTFORD,blacksmith,master mariner,1721-06-29,Margret,TUCKER,contractor
Joseph,M,FOX,William,REYNOLDS,mariner,jailor,1729-09-17,Jane,FOX,baker
Jessie,F,DERBY,Hugh,CURD,stonemason,silk dyer,1726-01-31,Isabella,DERBY,cement works foreman
Nellie,F,ENGLISH,Robert,CHALMERS,tailor,carriage works tinsmith,1722-06-19,Margaret,ENGLISH,coal merchant
Elizabeth,F,BOLAND,James,LEES,blacksmith,master mariner,1723-11-12,Agnes,BOLAND,shoemaker
William,M,LYONS,Edward,NOTT,chemist and druggist,builder,1724-08-01,Susanah,LYONS,farmer
James,M,BOND,James,CRAUFORD,delver,joiner,1736-01-14,Margt,BOND,station master
Catherine,F,ROGERS,James,ELDRED,servant,"manager, tile factory",1722-01-09,Mary,ROGERS,"shop assistant, jewellers"
Isabella,F,HILL,John,HOWEL,chainmaker,boilermaker,1731-07-15,Mary,HILL,servant
Betsy,F,MARCH,Andrew,MITCHELL,bricklayer,domestic servant,1729-12-18,Margaret,MARCH,farmer
