rec-id,FirstName,LastName,Gender,DateofBirth,FatherFirstName,FatherLastName,FatherOccupation,MotherFirstName,MotherLastName,MotherOccupation
rec-0-org,Mal,FEILDING,M,1713-09-17,Henry,FEILDING,actor manager,Isabella,KIMBER,egg packer
rec-1-org,Mary,FEILDING,F,1713-09-17,Henry,FEILDING,actor manager,Isabella,KIMBER,egg packer
rec-2-org,Isabella,HART,F,1737-12-24,Walter,HART,slate quarryman,Catherine,ADDEY,labourer
rec-3-org,William,THORP,M,1711-11-07,Thomas,THORP,royal marine private,Catherine,SMITH,smith
rec-4-org,Mary,MOONEY,F,1718-03-28,James,MOONEY,inspector of streets,Elsie,COWARD,farrier
rec-5-org,Walter,HYND,M,1717-02-09,Austin,HYND,station master,Euphemia,HARDING,baker
rec-6-org,Bethea,BURNET,F,1712-09-13,George,BURNET,market gardener,Elizabeth,NUTBROWN,farmer
rec-7-org,John,CROOK,M,1709-09-10,John,CROOK,"general manager, electric supply company",Margaret,VAUGHAN,labourer
rec-8-org,Joseph,HICK,M,1712-08-10,James,HICK,woollen merchant,Jane,MCCHEYNE,porter
rec-9-org,Jane,HUNT,F,1720-07-15,George,HUNT,shipowner,Mary,BLAIR,farm lab
rec-10-org,Andrew,CROOK,M,1713-11-20,John,CROOK,"general manager, electric supply company",Margaret,VAUGHAN,labourer
rec-11-org,Mary,WILLY,F,1716-06-11,William,WILLY,miner,Isabella,FLINNIS,aircraft designer
rec-12-org,Nellie,DAVIES,F,1720-01-07,Joseph,DAVIES,stone mason,Elizabeth,POLLARD,schoolmaster
rec-13-org,Jessie,SMITH,F,1723-03-23,Alexr,SMITH,policeman,Janet,CULL,farmer
rec-14-org,William,HEARN,M,1719-03-20,Alexander,HEARN,porter,Ann,PURVES,lab
rec-15-org,Jeanie,TURTON,F,1726-04-20,Patrick,TURTON,draper,Ann,SUTTILE,labourer
rec-16-org,Chas,HICK,M,1716-01-18,James,HICK,woollen merchant,Jane,MCCHEYNE,porter
