rec-id,FirstName,LastName,MotherFirstName,FatherLastName,DateofBirth,FatherFirstName,FatherOccupation,MotherLastName,Gender,MotherOccupation
rec-0-org,George,ALCORN,Mary,ALCORN,1712-08-21,Hugh,carpenter,ELLIOT,M,weaver
rec-1-org,Peter,RICH,Isabella,RICH,1713-10-22,James,time keeper (civil engineering),FAGAN,M,teacher
rec-2-org,George,MARCH,Margaret,MARCH,1719-06-06,Andrew,bricklayer,MITCHELL,M,domestic servant
rec-3-org,James,MAHAFFEY,Matilda,MAHAFFEY,1714-09-21,Hugh,curate,FARBROTHER,M,servant
rec-4-org,Thos,CAMPBELL,Janet,CAMPBELL,1727-02-17,Robt,bookseller,CONWAY,M,domestic servant
rec-5-org,Luis,REAKES,Elizabeth,REAKES,1724-03-31,Willi,labourer,SCHULEN,F,fitter at steelplant
rec-6-org,Martha,GRIFFITHS,Euphemia,GRIFFITHS,1735-06-28,Leslie,indian army engineer,HARDY,F,brewery labourer
rec-7-org,James,THOMAS,C,THOMAS,1714-06-09,Matthew,farmer,PHILLIPS,M,domestic servant
rec-8-org,Angus,ADAMSON,Jane,ADAMSON,1723-10-29,George,lady's maid,HARRISS,M,plasterer
rec-9-org,John,HILL,Mary,HILL,1719-03-16,John,chainmaker,HOWEL,M,boilermaker
rec-10-org,Anne,ALCORN,Mary,ALCORN,1728-03-13,Hugh,carpenter,ELLIOT,F,weaver
rec-11-org,Jas,WHATTON,Elisabeth,WHATTON,1721-10-22,John,carpenter,STEPHENSON,M,mariner
rec-12-org,Mark,TONGE,Sophia,TONGE,1721-05-30,John,parish clerk,ROBINSON,M,locksmith
rec-13-org,John,HUNTLEY,Jane,HUNTLEY,1723-01-10,Samuel,shepherd,BAKER,M,coal miner
rec-14-org,William,RICH,Isabella,RICH,1724-02-27,James,time keeper (civil engineering),FAGAN,M,teacher
rec-15-org,Catherine,FOSTER,Eliz,FOSTER,1725-11-13,Hugh,labourer,TROOP,F,oriform machinist
rec-16-org,Mary,CARTER,Emma,CARTER,1724-01-10,Robert,servant,SELKIRK,F,fisherman
rec-17-org,Isabella,THOMAS,C,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,F,domestic servant
rec-18-org,John,THOMAS,C,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,M,domestic servant
rec-19-org,Jane,BELL,Helen,BELL,1727-01-13,John,lab,HARDCASTLE,F,carpenter
rec-20-org,William,JONE,Jane,JONE,1726-05-14,Duncan,saddler,PARDOE,M,gardener
rec-21-org,Isabella,DANNILS,Marion,DANNILS,1724-03-14,Robert,warehouseman,LOCK,F,foreman mechanic
rec-22-org,Willia,MAHAFFEY,Matilda,MAHAFFEY,1720-01-11,Hugh,curate,FARBROTHER,M,servant
rec-23-org,Margaret,WILKIE,Isabella,WILKIE,1731-01-20,Henry,bricklayer,BOTT,F,orchestra attendant
rec-24-org,Ernest,TAYLOR,Elizabeth,TAYLOR,1720-04-08,John,mason,PICKTON,M,farmer
rec-25-org,Eliza,HARD,Annie,HARD,1725-11-27,George,mason,HUTTON,F,blacksmith
rec-26-org,Thomas,WHARTON,Mary,WHARTON,1733-08-28,Ronald,merchant,OLIVER,M,"royal marines, private"
rec-27-org,Mary,LAWSLEY,Margaret,LAWSLEY,1729-12-20,James,poulterer,MCNAB,F,bus conductor
rec-28-org,Donald,GREEN,Jane,GREEN,1722-11-07,James,smith,WILLIAMS,M,brickmaker
rec-29-org,Charlotte,TUCKER,Margret,TUCKER,1721-06-29,James,blacksmith,MOUNTFORD,F,master mariner
rec-30-org,Joseph,FOX,Jane,FOX,1729-09-17,William,mariner,REYNOLDS,M,jailor
rec-31-org,Jessie,DERBY,Isabella,DERBY,1726-01-31,Hugh,stonemason,CURD,F,silk dyer
rec-32-org,Nellie,ENGLISH,Margaret,ENGLISH,1722-06-19,Robert,tailor,CHALMERS,F,carriage works tinsmith
rec-33-org,Elizabeth,BOLAND,Agnes,BOLAND,1723-11-12,James,blacksmith,LEES,F,master mariner
rec-34-org,William,LYONS,Susanah,LYONS,1724-08-01,Edward,chemist and druggist,NOTT,M,builder
rec-35-org,James,BOND,Margt,BOND,1736-01-14,James,delver,CRAUFORD,M,joiner
rec-36-org,Catherine,ROGERS,Mary,ROGERS,1722-01-09,James,servant,ELDRED,F,"manager, tile factory"
