FirstName,LastName,Gender,DateofBirth,FatherFirstName,FatherLastName,FatherOccupation,MotherFirstName,MotherLastName,MotherOccupation
Mal,FEILDING,M,1713-09-17,Henry,FEILDING,actor manager,Isabella,KIMBER,egg packer
Mary,FEILDING,F,1713-09-17,Henry,FEILDING,actor manager,Isabella,KIMBER,egg packer
Isabella,HART,F,1737-12-24,Walter,HART,slate quarryman,Catherine,ADDEY,labourer
William,THORP,M,1711-11-07,Thomas,THORP,royal marine private,Catherine,SMITH,smith
Mary,MOONEY,F,1718-03-28,James,MOONEY,inspector of streets,Elsie,COWARD,farrier
Walter,HYND,M,1717-02-09,Austin,HYND,station master,Euphemia,HARDING,baker
Bethea,BURNET,F,1712-09-13,George,BURNET,market gardener,Elizabeth,NUTBROWN,farmer
John,CROOK,M,1709-09-10,John,CROOK,"general manager, electric supply company",Margaret,VAUGHAN,labourer
Joseph,HICK,M,1712-08-10,James,HICK,woollen merchant,Jane,MCCHEYNE,porter
Jane,HUNT,F,1720-07-15,George,HUNT,shipowner,Mary,BLAIR,farm lab
Andrew,CROOK,M,1713-11-20,John,CROOK,"general manager, electric supply company",Margaret,VAUGHAN,labourer
Mary,WILLY,F,1716-06-11,William,WILLY,miner,Isabella,FLINNIS,aircraft designer
Nellie,DAVIES,F,1720-01-07,Joseph,DAVIES,stone mason,Elizabeth,POLLARD,schoolmaster
Jessie,SMITH,F,1723-03-23,Alexr,SMITH,policeman,Janet,CULL,farmer
William,HEARN,M,1719-03-20,Alexander,HEARN,porter,Ann,PURVES,lab
Jeanie,TURTON,F,1726-04-20,Patrick,TURTON,draper,Ann,SUTTILE,labourer
Chas,HICK,M,1716-01-18,James,HICK,woollen merchant,Jane,MCCHEYNE,porter
Maryu,BEARDHALL,F,1726-03-21,David,BEARDHALL,farmer,Margaret,MORGAN,weaver
Arthur,LONGTON,M,1719-09-15,Joseph,LONGTON,mason,Delia,SCOFFIELD,doctor of physics
William,STUART,M,1721-05-21,George,STUART,ag worker,Mary,SPENSER,carpenter
John,MANSON,M,1716-08-05,William,MANSON,farmer,Mary,HARMITT,gardener
Thomas,BURNET,M,1717-03-07,George,BURNET,market gardener,Elizabeth,NUTBROWN,farmer
Donald,CAMPBELL,M,1719-06-04,Donald,CAMPBELL,labourer,Marion,REYNOLDS,civil engineer
Helen,WELES,F,1717-12-28,John,WELES,tailor,Janet,DAY,grinder
David,ODELL,M,1725-05-28,David,ODELL,mason,Isabella,CATER,farmer
Alexander,GRUB,M,1725-05-11,Alexander,GRUB,tailoress,Eliza,WATERS,domestic servant
Mary,SMITH,F,1719-01-21,Margaret,SMITH,newsagent,Christina,HASKELL,spring knife cutler
Janet,FEILDING,F,1721-11-02,Henry,FEILDING,actor manager,Isabella,KIMBER,egg packer
James,MONDAY,M,1722-04-11,James,MONDAY,general servant,Isabella,WYNNE,farmer
Thomas,DEPLEDGE,M,1723-02-21,Arthur,DEPLEDGE,straw plaiter,Agnes,WALLIS,sailor
Jane,MARKS,F,1720-03-31,John,MARKS,weaver,Margt,ROUTLESS,labourer
Ann,SAYER,F,1744-04-17,David,SAYER,publican,Jessie,SCOTT,bricklayer
John,SPERRING,M,1723-11-07,Alexander,SPERRING,registrar probably mistaken in putting 'railway' p,Janet,INIGS,joiner
Agnes,WILSON,F,1718-12-25,William,WILSON,ag lab,Elizabeth,POPPLEWELL,tutor
Agnes,EDWARDS,F,1723-03-21,Robert,EDWARDS,fireman,Helen,MEYRICK,joiner
William,DICKMAN,M,1733-11-30,David,DICKMAN,weaver,May,HOLT,shoemaker
Mary-Ann,DAVIES,F,1723-01-22,John,DAVIES,commercial clerk,Janet,PAWSEY,farm lab
Francis,BUTTERS,M,1726-03-01,Willi,BUTTERS,ploughman,Bethia,CRICH,labourer
William,WILLS,M,1722-10-19,William,WILLS,lab,Margaret,BARNES,traveller
William,MALDEN,M,1719-05-09,James,MALDEN,ships clerk,Agnes,MITCHELL,dressmaker
Agnes,CLAXTON,F,1720-04-01,Thomas,CLAXTON,civil servant,Mary,SEABROOK,mariner (stoker)
James,WINN,M,1724-04-30,D,WINN,clerk,Margaret,ISHERWOOD,grain merchant
Alexander,HICK,M,1721-10-28,James,HICK,woollen merchant,Jane,MCCHEYNE,porter
Elizabeth,SHAFTOE,F,1723-04-17,John,SHAFTOE,chemist,Marion,ALDRED,dressmaker
Alex,WILLY,M,1722-09-30,William,WILLY,miner,Isabella,FLINNIS,aircraft designer
Robert,MANSON,M,1723-09-30,William,MANSON,farmer,Mary,HARMITT,gardener
John,MANSON,M,1723-09-30,William,MANSON,farmer,Mary,HARMITT,gardener
Robert,BROWN,M,1720-12-06,William,BROWN,teacher,Jane,SWINDLES,mechanic
Thomas,DIUSDALL,M,1729-06-12,John,DIUSDALL,farmer,Jane,NICHOLSON,printers compositor
Margaret,STACY,F,1722-05-30,William,STACY,railway traffic inspector,Jane,SAWREY,contractor
Agnes,PIPER,F,1724-04-17,William,PIPER,engineer,Jane,TRAYNOR,railway porter
Thomas,PIPER,M,1724-04-17,William,PIPER,engineer,Jane,TRAYNOR,railway porter
Catherine,CHAPMAN,F,1727-05-02,William,CHAPMAN,domestic cook,Isabella,POTTER,labourer
John,HYND,M,1723-07-18,Austin,HYND,station master,Euphemia,HARDING,baker
Mary,BURNET,F,1724-07-24,George,BURNET,market gardener,Elizabeth,NUTBROWN,farmer
Thomas,BRUCE,M,1724-03-26,William,BRUCE,gas fitter,Christina,SHEPHERD,labourer
James,HITCHCOCK,M,1722-06-23,Willia,HITCHCOCK,fuel overseer,Georgina,JONES,miner
Mary,EDWARDS,F,1721-08-21,Thomas,EDWARDS,domestic service,Jessie,HYNDMAN,framework knitter
Emily,PEARSE,F,1720-12-31,William,PEARSE,shoemaker,Catherine,KENNEDY,flour meal miller
James,SOUTHWORTH,M,1724-03-14,James,SOUTHWORTH,blacksmith,Catherine,SMITH,smith
Mary,SMITH,F,1731-01-14,Alexr,SMITH,labourer,Helen,SMITH,provision merchant
John,WILLER,M,1726-01-30,Thomas,WILLER,schoolmaster,Mary,MUNRO,stonemason
James,SAFEGUARD,M,1721-12-11,William,SAFEGUARD,labourer,Ellen,HOLLINS,farmer
Will,BURROWS,M,1734-07-05,James,BURROWS,warehouseman's assistant,Isabella,AYDON,fisherman
William,WELES,M,1723-03-20,John,WELES,tailor,Janet,DAY,grinder
Jane,LEE,F,1723-01-24,James,LEE,fuse factory hand,Ann,HATELY,shepherd
John,MOONEY,M,1723-12-28,James,MOONEY,inspector of streets,Elsie,COWARD,farrier
John,CHAPMAN,M,1722-11-07,Alexr,CHAPMAN,joiner,Margaret,NEEB,coalminer
Helen,LEAVENT,F,1726-07-17,John,LEAVENT,farmer,Elizabeth,YOUNG,stone mason
Joseph,HUGHES,M,1722-05-07,Thomas,HUGHES,army agent,Graham,BARNAGE,cooper
Thomas,BEAUMONT,M,1725-11-29,James,BEAUMONT,farmer,Jeannie,TYLOR,stationary engineman
George,DIBDON,M,1723-04-27,Peter,DIBDON,reporter,Ellen,BALMFORTH,estate carpenter
Thomas,DOWING,M,1722-08-05,Samuel,DOWING,labourer,Elizabeth,SUTTON,farmer
Agnes,DOWING,F,1722-08-05,Samuel,DOWING,labourer,Elizabeth,SUTTON,farmer
Walter,WILSON,M,1724-03-22,William,WILSON,ag lab,Elizabeth,POPPLEWELL,tutor
Rosanah,FINNEY,F,1723-07-30,Gavin,FINNEY,law stationer,Jean,CLARKE,vellum account bookbinder
John,TURNER,M,1728-08-14,Robert,TURNER,medical practitioner,Jane,PURCELL,farmer
Thomas,HEARN,M,1729-09-06,Alexander,HEARN,porter,Ann,PURVES,lab
Alexander,MALDEN,M,1722-11-30,James,MALDEN,ships clerk,Agnes,MITCHELL,dressmaker
Robert,CAMPBELL,M,1726-03-01,Donald,CAMPBELL,labourer,Marion,REYNOLDS,civil engineer
Agnes,LANE,F,1722-11-18,Charles,LANE,railway carriage examiner,Jessie,CAPE,pawnbroker
Margaret,LINFIELD,F,1725-05-14,Robert,LINFIELD,innkeeper,Ann,TURNER,newsagent
Thos,ROSSBOTTOM,M,1727-08-19,James,ROSSBOTTOM,ag lab,Charlotte,OLIVER,farm lab
Thomas,LONGTON,M,1727-04-18,Joseph,LONGTON,mason,Delia,SCOFFIELD,doctor of physics
Michael,DAVIES,M,1729-02-11,Joseph,DAVIES,stone mason,Elizabeth,POLLARD,schoolmaster
Thomas,HODKINSON,M,1723-10-29,George,HODKINSON,mariner,Margaret,DAVISON,grocer
Donald,THORN,M,1729-10-18,John,THORN,overseer railway,Alice,SHADWELL,grocer
Grace,SMITH,F,1724-07-07,John,SMITH,farmer,Margaret,ROBERTSHAW,miner
Lewis,BURGESS,M,1729-08-05,Robert,BURGESS,printer,Lizzie,ROY,clergyman
Agnes,MARKS,F,1723-02-27,John,MARKS,weaver,Margt,ROUTLESS,labourer
Isabella,CLAXTON,F,1722-10-09,Thomas,CLAXTON,civil servant,Mary,SEABROOK,mariner (stoker)
Mary,SIMMONDS,F,1725-07-12,John,SIMMONDS,farm lab,Jessie,SIMPSON,navy
Elizabeth,GIBBS,F,1735-04-21,James,GIBBS,army private,Elizabeth,RITCHIE,button maker
Jane,BRITWELL,F,1729-03-26,Petter,BRITWELL,bottlemaker,Jane,JONES,tailoress
Elisabeth,COLLINS,F,1725-01-07,William,COLLINS,machinist (coffee mill),Chirsty,MUDDLE,labourer
Thos,COOPER,M,1724-07-10,Robert,COOPER,jute weaver,Lissie,JOHNSON,"nurse, education authority"
William,BALDRY,M,1724-01-17,John,BALDRY,newspaper proprietor,Helen,MANTELL,miner
Ann,MCMILLAN,F,1735-02-18,Alexander,MCMILLAN,bank clerk,Isabella,SMITH,thatcher
Mickael,HUNT,M,1729-01-04,George,HUNT,shipowner,Mary,BLAIR,farm lab
Gourlay,TURNER,M,1730-11-21,James,TURNER,lab,Susan,BANGHAM,weaver
Marion,STOAN,F,1728-05-19,James,STOAN,labourer,Agnes,EMPS,boot and shoe maker
Ann,HARRISON,F,1731-07-04,William,HARRISON,labourer,Mary,LEE,lacemaker
Mary,COX,F,1728-05-18,David,COX,ironstone miner,Ann,WAGSTAFF,factory worker
Charles,WELCH,M,1727-06-10,Stewart,WELCH,overlooker in a factory,Mary,YATES,"school mistress, dame school"
Alexander,WELCH,M,1727-06-10,Stewart,WELCH,overlooker in a factory,Mary,YATES,"school mistress, dame school"
Jessie,WELCH,F,1727-06-10,Stewart,WELCH,overlooker in a factory,Mary,YATES,"school mistress, dame school"
Walter,BROWN,M,1725-03-08,William,BROWN,teacher,Jane,SWINDLES,mechanic
Marion,LIFFEN,F,1728-01-31,James,LIFFEN,florist,Isabella,GORDON,clockmaker
Margaret,MCKIRDY,F,1726-12-22,James,MCKIRDY,publican,Mary,PUNCHER,power loom cotton weaver
David,TOWNSEND,M,1727-12-03,John,TOWNSEND,brush maker,Maggie,SHAKESPEAR,artificial limb maker
Susan,ARTUR,F,1726-07-20,Samuel,ARTUR,ag lab,Margaret,HAYTON,post master
John,ARTUR,M,1726-07-20,Samuel,ARTUR,ag lab,Margaret,HAYTON,post master
John,ARTUR,M,1726-07-20,Samuel,ARTUR,ag lab,Margaret,HAYTON,post master
James,PEARSE,M,1725-09-29,William,PEARSE,shoemaker,Catherine,KENNEDY,flour meal miller
Elizabeth,HILL,F,1725-02-26,John,HILL,ironmonger,Mary,HOPKINS,mariner
Elizabeth,THOMSON,F,1734-09-01,Robert,THOMSON,farm lab,Alice,STAINBRIDGE,basket maker
John,STRACHAN,M,1731-03-02,Joseph,STRACHAN,domestic servant,Anne,DICKENSON,carpenter
Elizabeth,STUART,F,1732-07-24,George,STUART,ag worker,Mary,SPENSER,carpenter
Walter,WEIR,M,1725-01-20,John,WEIR,labourer,Hellen,GARSIDE,labourer
Margaret,JONES,F,1725-09-04,William,JONES,headmaster - board school,Robertina,TUGOLD,collier
James,EDWARDS,M,1727-06-21,Thomas,EDWARDS,domestic service,Jessie,HYNDMAN,framework knitter
Malcom,FEILDING,M,1728-12-23,Henry,FEILDING,actor manager,Isabella,KIMBER,egg packer
John,HEATH,M,1724-05-16,John,HEATH,house painter,Margaret,ALLT,farmer
Margaret,SAFEGUARD,F,1725-08-27,William,SAFEGUARD,labourer,Ellen,HOLLINS,farmer
William,LAYE,M,1736-01-22,James,LAYE,engineer,Mary,FILLINGHAM,headmistress
Janet,GASTIN,F,1744-08-06,Jno,GASTIN,coal hewer,Jane,RICHARDSON,labourer
John,YOUNIE,M,1731-05-12,James,YOUNIE,labourer,Mary,MATHERS,ag lab
Peter,BAILEY,M,1742-01-11,John,BAILEY,farmer,Agnes,GARRIOCH,dressmaker
George,WEDGBURY,M,1730-11-27,Peter,WEDGBURY,farmer,Catherine,MCMILLAN,servant
Alexander,MCPHERSON,M,1726-03-12,James,MCPHERSON,shoemaker,Christian,BEECH,fitter
Grace,DOUGLAS,F,1727-02-25,James,DOUGLAS,blacksmith,Henrietta,FREEMAN,market gardener
Isabella,BARTON,F,1732-07-19,Hugh,BARTON,railway clerk,Rosina,MARSDEN,coach wheelwright and coach builder
David,MONDAY,M,1728-11-24,James,MONDAY,general servant,Isabella,WYNNE,farmer
Alexander,HUGHES,M,1728-02-23,Thomas,HUGHES,army agent,Graham,BARNAGE,cooper
Jane,STACY,F,1731-07-08,William,STACY,railway traffic inspector,Jane,SAWREY,contractor
Margaret,HITCHCOCK,F,1724-10-26,Willia,HITCHCOCK,fuel overseer,Georgina,JONES,miner
John,MOORE,M,1726-08-25,Will,MOORE,labourer,Rebecca,DAVIS,plumber
Helen,CROOK,F,1735-12-12,John,CROOK,"general manager, electric supply company",Caroline,LONGHURST,clockmaker
Euphemia,GUY,F,1737-10-26,Robt,GUY,fitter,Janet,BAILEY,ag mechanic
Willi,SMITH,M,1733-10-25,Willia,SMITH,boot finisher,Isabella,KINGTON,coal miner
Mary,BARTON,F,1728-12-07,James,BARTON,carman,Mary,SCHOFIELD,labourer
Mathew,ROBERTS,M,1739-04-10,Archibald,ROBERTS,police constable,Barbara,LANGSON,labourer
Thomas,WOODCOCK,M,1727-11-22,Allan,WOODCOCK,cordwainer,Dora,BARTEY,stone mason
Robert,SHANE,M,1733-06-25,James,SHANE,cotton warper,Ann,MCKINLAY,carpenter
William,BATES,M,1737-10-05,Peter,BATES,ag lab,Margaret,TUFFIN,tailor
Helen,ANDERSON,F,1729-10-23,William,ANDERSON,groom,Helen,GARLAND,ag lab
Agnes,DAY,F,1728-11-17,Hugh,DAY,farmer,Williamina,BANKS,excise officer
Jemima,WILLY,F,1727-08-30,William,WILLY,miner,Isabella,FLINNIS,aircraft designer
Owen,CLAXTON,M,1727-06-28,Thomas,CLAXTON,civil servant,Mary,SEABROOK,mariner (stoker)
Geo,WILLS,M,1734-07-26,William,WILLS,lab,Margaret,BARNES,traveller
Janet,TAILOR,F,1732-09-03,William,TAILOR,pavior,Mary,DAVIES,machine maker
Robert,CHAPMAN,M,1727-02-12,Alexr,CHAPMAN,joiner,Margaret,NEEB,coalminer
Simon,MALDEN,M,1726-06-12,James,MALDEN,ships clerk,Agnes,MITCHELL,dressmaker
George,COOPER,M,1728-11-24,Peter,COOPER,carpet designer,Margaret,HALL,proprietress of coffee rooms and guest house
James,PATERSON,M,1728-11-02,William,PATERSON,advocate,Ann,MOORE,schoolmaster
Sarah,HOYLE,F,1726-02-01,David,HOYLE,latch maker,Lilias,GRABHAM,soldier
Annie,LEE,F,1727-08-13,James,LEE,fuse factory hand,Ann,HATELY,shepherd
James,LEE,M,1727-08-13,James,LEE,fuse factory hand,Ann,HATELY,shepherd
George,JONES,M,1732-10-18,James,JONES,farm labourer,Hannah,HARRIS,inspector of munitions
James,DEPLEDGE,M,1728-01-17,Arthur,DEPLEDGE,straw plaiter,Agnes,WALLIS,sailor
David,MARKS,M,1728-04-30,John,MARKS,weaver,Margt,ROUTLESS,labourer
Isa,WELES,F,1729-11-02,John,WELES,tailor,Janet,DAY,grinder
Bella,EDWARDS,F,1730-09-30,Robert,EDWARDS,fireman,Helen,MEYRICK,joiner
Robert,SMITH,M,1736-11-23,Alexr,SMITH,policeman,Janet,CULL,farmer
Helen,BREAD,F,1734-06-30,John,BREAD,labourer,Mary,FELLOWS,ag lab
Elizabeth,WARD,F,1732-07-31,Arthur,WARD,ag lab,Mary,YORK,railway clerk
Margaret,SHAFTOE,F,1728-01-23,John,SHAFTOE,chemist,Marion,ALDRED,dressmaker
George,DIBDON,M,1730-04-21,Peter,DIBDON,reporter,Ellen,BALMFORTH,estate carpenter
Ann,THORP,F,1732-05-31,Thomas,THORP,royal marine private,Sarah,CLITHEROE,miner
Janet,UPTON,F,1736-09-11,George,UPTON,weaver,Lilias,LAIRD,brickmaker
Mary,HYND,F,1731-12-16,Austin,HYND,station master,Euphemia,HARDING,baker
Joseph,FINNEY,M,1728-01-19,Gavin,FINNEY,law stationer,Jean,CLARKE,vellum account bookbinder
Willm,WELLIAM,M,1733-11-13,James,WELLIAM,weaver,Elizabeth,BRILBY,junior accountant
James,MCLARDIE,M,1736-10-26,William,MCLARDIE,school teacher,Elizabeth,NELSON,sanitary inspector
John,HOBBS,M,1732-07-10,Willia,HOBBS,"sergeant, grenadier guards",Jane,GROSSAM,fisherman
Williamina,TUNICLIFFE,F,1726-05-28,Robert,TUNICLIFFE,transport worker,Jane,ASHLEY,mercer
Donald,MANSON,M,1729-06-11,William,MANSON,farmer,Mary,HARMITT,gardener
John,MAY,M,1734-01-15,Joseph,MAY,labourer,Agnes,FARMER,labourer
James,MAY,M,1734-01-15,Joseph,MAY,labourer,Agnes,FARMER,labourer
Robert,YOUNG,M,1726-05-26,Thomas,YOUNG,builder & contractor,Euphemia,RAE,carpenter
Robt,HODKINSON,M,1727-06-02,George,HODKINSON,mariner,Margaret,DAVISON,grocer
Martha,CONDRAN,F,1730-06-12,James,CONDRAN,coach builder,Ann,JONES,of independent means
Margaret,SPERRING,F,1731-04-25,Alexander,SPERRING,registrar probably mistaken in putting 'railway' p,Janet,INIGS,joiner
John,SPERRING,M,1731-04-25,Alexander,SPERRING,registrar probably mistaken in putting 'railway' p,Janet,INIGS,joiner
William,GOLLIN,M,1729-05-30,Hanra,GOLLIN,coal miner,Jessie,HARRIS,lab
James,BOUGH,M,1739-01-22,James,BOUGH,farmer,Janet,RAMAGE,merchant
Mary,WINSTONE,F,1726-10-25,David,WINSTONE,collier,Betsy,LEWIS,labourer
Helen,MOONEY,F,1731-05-29,James,MOONEY,inspector of streets,Elsie,COWARD,farrier
Mary,BALDRY,F,1728-01-22,John,BALDRY,newspaper proprietor,Helen,MANTELL,miner
Thomas,REED,M,1729-10-23,James,REED,blacksmith,Mary,TIBBOTT,baker
Jane,MUNRO,F,1728-05-17,Robert,MUNRO,porter,Margaret,ROBERTS,railway worker
Margaret,BLOOMER,F,1729-01-10,John,BLOOMER,bricklayer,Janet,WATKINSON,furnace manager
Barbra,SOUTHERN,F,1730-07-04,Joseph,SOUTHERN,scavenger (street cleaner),Margaret,SMITH,munitions worker (cotton mixer)
Willia,SOUTHWORTH,M,1727-12-26,James,SOUTHWORTH,blacksmith,Catherine,SMITH,smith
Alexander,WILSON,M,1731-06-30,William,WILSON,ag lab,Elizabeth,POPPLEWELL,tutor
