rec-id,FirstName,Gender,LastName,FatherLastName,DateofBirth,FatherFirstName,FatherOccupation,MotherLastName,MotherFirstName,MotherOccupation,Occupation
rec-0-org,George,M,ALCORN,ALCORN,1712-08-21,Hugh,carpenter,ELLIOT,Mary,weaver,school teacher
rec-1-org,Peter,M,RICH,RICH,1713-10-22,James,time keeper (civil engineering),FAGAN,Isabella,teacher,gasfitter
rec-10-org,Anne,F,ALCORN,ALCORN,1728-03-13,Hugh,carpenter,ELLIOT,Mary,weaver,farmer
rec-100-org,John,M,BENN,BENN,1727-05-23,Charles,domestic servant,HOWARTH,Jane,farm labourer,farmer
rec-101-dup-0,Hellqn,F,RICH,RICH,1732-02-26,James,time keeper (civil engineering),FAGAN,Isabella,teacher,plasterer
rec-101-org,Hellen,F,RICH,RICH,1732-02-26,James,time keeper (civil engineering),FAGAN,Isabella,teacher,plasterer
rec-102-org,Mary,F,DANNILS,DANNILS,1729-07-24,Robert,warehouseman,LOCK,Marion,foreman mechanic,blacksmith
rec-103-org,Jane,F,SWANSON,SWANSON,1731-09-20,John,sawyer,RYAN,Joan,blacksmith,farmer
rec-104-org,William,M,REAKES,REAKES,1734-06-03,Willi,labourer,SCHULEN,Elizabeth,fitter at steelplant,miner
rec-105-dup-0,Wiliat,M,SMITH,SMITH,1732-08-29,Hugh,potter,SPRAGG,Isabella,engine driver (british rail),labourer
rec-105-org,Wiliam,M,SMITH,SMITH,1732-08-29,Hugh,potter,SPRAGG,Isabella,engine driver (british rail),labourer
rec-106-dup-0,ksabella,F,DAVIES,DAVIES,1731-07-07,James,meal miller,RAY,Jessie,welder,carpenter
rec-106-dup-1,Isanella,F,DAVIES,DAVIES,1731-07-07,James,meal miller,RAY,Jessie,welder,carpenter
rec-106-org,Isabella,F,DAVIES,DAVIES,1731-07-07,James,meal miller,RAY,Jessie,welder,carpenter
rec-107-org,Agnes,F,FRITH,FRITH,1737-01-11,Malcolm,butcher,GRAHAM,Margaret,pawn broker,lab
rec-108-dup-0,Alexancler,M,RICHARDSON,RICHARDSON,1728-09-01,Alexander,servant,CULL,Margaret,mechanic,watchmaker
rec-108-dup-1,Aelxander,M,RICHARDSON,RICHARDSON,1728-09-01,Alexander,servant,CULL,Margaret,mechanic,watchmaker
rec-108-org,Alexander,M,RICHARDSON,RICHARDSON,1728-09-01,Alexander,servant,CULL,Margaret,mechanic,watchmaker
rec-109-org,Janet,F,HAWKEN,HAWKEN,1730-11-07,Alexander,domestic servant (parlourmaid),BENNETT,Catharine,colliery engineer,motorman
rec-11-org,Jas,M,WHATTON,WHATTON,1721-10-22,John,carpenter,STEPHENSON,Elisabeth,mariner,council gardener
rec-110-dup-0,Willism,M,BUCK,BUCK,1730-10-20,Archibald,munitions factory worker,REES,Margaret,senior contract engineer,lab
rec-110-dup-1,Wlliam,M,BUCK,BUCK,1730-10-20,Archibald,munitions factory worker,REES,Margaret,senior contract engineer,lab
rec-110-org,William,M,BUCK,BUCK,1730-10-20,Archibald,munitions factory worker,REES,Margaret,senior contract engineer,lab
rec-111-org,Duncan,M,HERNE,HERNE,1730-12-13,John,farmer,JONES,Elizabeth,tanner,woollen draper
rec-112-org,Jane,F,LIFTON,LIFTON,1727-08-05,James,gilder,HOLLIWELL,Margaret,carpenter,fisherman
rec-113-org,Ellen,F,LYONS,LYONS,1731-12-24,Edward,chemist and druggist,NOTT,Susanah,builder,builder
rec-114-dup-0,Maru,F,SNOOK,SNOOK,1730-10-26,Alexr,mercantile clerk,THOMAS,Margaret,bootcloser,labourer in iron factory
rec-114-org,Mary,F,SNOOK,SNOOK,1730-10-26,Alexr,mercantile clerk,THOMAS,Margaret,bootcloser,labourer in iron factory
rec-115-dup-0,Jang,F,TUCKER,TUCKER,1726-01-28,James,blacksmith,MOUNTFORD,Margret,master mariner,carpenter
rec-115-dup-1,Jame,F,TUCKER,TUCKER,1726-01-28,James,blacksmith,MOUNTFORD,Margret,master mariner,carpenter
rec-115-org,Jane,F,TUCKER,TUCKER,1726-01-28,James,blacksmith,MOUNTFORD,Margret,master mariner,carpenter
rec-116-org,Jane,F,OFFLER,OFFLER,1728-06-01,Charles,labourer,WELLS,Mary,miner,sugar boiler
rec-117-org,Agnes,F,BOWMAN,BOWMAN,1728-06-02,Hugh,draper,TREDWIN,Jane,clerk,mason
rec-118-org,Helen,F,PAINE,PAINE,1734-06-17,Edward,ag lab,LOWSON,Ellen,seamstress,assistant foreman
rec-119-org,George,M,RIEVERTS,RIEVERTS,1736-03-23,Harvey,servant,COOKMAN,Annie,farmer,ropemaker
rec-12-org,Mark,M,TONGE,TONGE,1721-05-30,John,parish clerk,ROBINSON,Sophia,locksmith,army officer
rec-120-dup-0,aJs,M,FULKER,FULKER,1729-02-10,James,farmer,BARBER,Mary,coachman,public transport omnibus driver
rec-120-dup-1,as,M,FULKER,FULKER,1729-02-10,James,farmer,BARBER,Mary,coachman,public transport omnibus driver
rec-120-org,Jas,M,FULKER,FULKER,1729-02-10,James,farmer,BARBER,Mary,coachman,public transport omnibus driver
rec-121-dup-0,Sam8el,M,HALL,HALL,1735-10-31,John,greengrocer,ALLCOCK,Jane,analytical chemist,architect
rec-121-dup-1,Samue1,M,HALL,HALL,1735-10-31,John,greengrocer,ALLCOCK,Jane,analytical chemist,architect
rec-121-dup-2,Sgmuel,M,HALL,HALL,1735-10-31,John,greengrocer,ALLCOCK,Jane,analytical chemist,architect
rec-121-org,Samuel,M,HALL,HALL,1735-10-31,John,greengrocer,ALLCOCK,Jane,analytical chemist,architect
rec-122-dup-0,Marj,F,CLARKE,CLARKE,1731-08-25,Willia,relief stamper,HARRIS,Maggie,farm manager,groom
rec-122-dup-1,Marv,F,CLARKE,CLARKE,1731-08-25,Willia,relief stamper,HARRIS,Maggie,farm manager,groom
rec-122-dup-2,tMary,F,CLARKE,CLARKE,1731-08-25,Willia,relief stamper,HARRIS,Maggie,farm manager,groom
rec-122-org,Mary,F,CLARKE,CLARKE,1731-08-25,Willia,relief stamper,HARRIS,Maggie,farm manager,groom
