rec-id,FirstName,LastName,MotherFirstName,FatherLastName,DateofBirth,FatherFirstName,FatherOccupation,MotherLastName,Gender,MotherOccupation
rec-0-org,Hellen,AUGAR,Emily,AUGAR,1708-09-13,Joseph,paper merchant,MATTHEWS,F,servant
rec-1-org,James,PHILPOTS,Mary,PHILPOTS,1713-01-29,John,collier,MARTIN,M,joiner
rec-10-dup-0,Jahe,AUGAR,Emily,AUGAR,1719-03-16,Joseph,paper merchant,MATTHEWS,F,servant
rec-100-org,Mary,HOLLINSWORTH,Elisabeth,HOLLINSWORTH,1727-02-15,Francis,servant,SMITH,F,spinner
rec-1000-org,Adam,HAYTON,Catherine,HAYTON,1738-07-22,Alex,corn dealer,DAVY,M,bottlemaker
rec-1001-org,Isabella,YOUNG,Mary,YOUNG,1740-03-20,William,farmer,SHASTER,F,farmer
rec-1002-org,Margaret,BEBINGTON,Maggie,BEBINGTON,1737-06-15,Alexander,mason,MUCKLAND,F,unitarian minister
rec-1003-org,Euphemia,MOBBS,Mary,MOBBS,1746-09-28,William,carman,MCDONALD,F,clothworker
rec-1004-dup-0,Robery,HART,Euph,HART,1738-06-23,Willi,lamp cabin worker (coal mine),BATES,M,railway carriage cleaner
rec-1005-org,Jean,JACKMAN,Mary,JACKMAN,1736-05-15,Jas,coal miner,STUBBS,F,shepherd
rec-1006-org,Jessie,THORNE,Janet,THORNE,1738-05-04,Willm,mantua and dressmaker,DAKINS,F,engineer - tool maker
rec-1007-org,James,HENWOOD,Ann,HENWOOD,1745-08-25,John,fish merchant,BRINDLE,M,ag lab
rec-1008-dup-0,Johm,MORRISS,Jessie,MORRISS,1736-11-19,William,gardener,EARLE,M,wheelwright
rec-1009-dup-0,Agens,SMITH,Margaret,SMITH,1737-03-13,Adam,soldier,BIRD,F,lab
rec-101-dup-0,Alesxander,LAW,Barbara,LAW,1728-11-13,William,grocer's assistant,MEWES,M,police constable
rec-1010-dup-0,Francist,WITMORE,Elizabeth,WITMORE,1743-07-24,David,railway shunter,MILLIGAN,M,innkeeper
rec-1011-org,Jane,NEWMAN,Mary,NEWMAN,1738-06-18,William,goldsmith,SISSON,F,collier
rec-1012-org,Helen,HUCK,Mary,HUCK,1738-04-01,Peter,cook,WYNNE,F,baker
rec-1013-org,Sophia,ROSE,Jannet,ROSE,1737-10-30,William,gunlock filer,METCALF,F,bishop
rec-1014-org,Elizabeth,WOODHEAD,Jane,WOODHEAD,1744-11-08,John,ag lab,BUGDON,F,lab
rec-1015-org,Jessie,MATTHEWS,Margaret,MATTHEWS,1739-11-29,James,miller,JUDSON,F,blacksmith
rec-1016-dup-0,Elizabebh,THOMSON,Mary,THOMSON,1748-03-26,Robert,haulier,DUNCAN,F,furnaceman
rec-1017-dup-0,Roebrt,HENDERSON,Ann,HENDERSON,1737-01-28,Thomas,shoemaker,PICKLES,M,labourer
rec-1018-org,Alice,TAYLOR,Agnes,TAYLOR,1737-10-03,Alexander,weaveress,STEWART,F,sorting clerk telegraphist (post office)
rec-1019-dup-0,Geogre,BARKER,Mary,BARKER,1738-04-11,Robert,mason,BURNS,M,parlourmaid
rec-102-dup-0,Will9am,MOORE,Jane,MOORE,1724-06-22,Austine,innkeeper,PARKER,M,railway inspector
rec-1020-org,Annie,SAXTOR,Elizabeth,SAXTOR,1739-09-04,William,town servant,MCCALLUM,F,gardener
rec-1021-org,Hugh,VARLEY,Annie,VARLEY,1740-01-20,James,gold digger,TWEMLOW,M,lacemaker
rec-1022-dup-0,Alexrm,LEISHMAN,Janet,LEISHMAN,1738-07-19,Will,retail grocer,TAYLOR,M,bricklayer
rec-1023-org,Janet,SIMMONS,Elizabeth,SIMMONS,1737-06-12,Andrew,ag lab,CROW,F,lighterman
rec-1024-org,Joseph,EIDE,Jane,EIDE,1742-11-15,Andrew,labourer,MCCULLOCH,M,ag lab
rec-1025-org,Robert,POTTS,Mary,POTTS,1741-04-11,John,coster [vegetable stall],CHAPMAN,M,painter
rec-1026-dup-0,Jean,ORDr,Mary,ORD,1746-03-13,John,dyer,SWAINSON,F,farmer
rec-1027-org,Jemima,MARTIN,Maryann,MARTIN,1738-03-05,Robert,farmer,ROVAND,F,farmer
rec-1028-org,Janet,ATKINSON,Agnes,ATKINSON,1741-04-29,Willia,clergyman,BURNETT,F,resident anaesthetist- hospital
