rec-id,FirstName,LastName,Gender,DateofBirth,FatherFirstName,FatherLastName,FatherOccupation,MotherFirstName,MotherLastName,MotherOccupation
rec-0-org,George,ALCORN,M,1712-08-21,Hugh,ALCORN,carpenter,Mary,ELLIOT,weaver
rec-1-org,Peter,RICH,M,1713-10-22,James,RICH,time keeper (civil engineering),Isabella,FAGAN,teacher
rec-10-org,Anne,ALCORN,F,1728-03-13,Hugh,ALCORN,carpenter,Mary,ELLIOT,weaver
rec-100-org,John,BENN,M,1727-05-23,Charles,BENN,domestic servant,Jane,HOWARTH,farm labourer
rec-1000-org,Helen,WATSON,F,1749-01-05,Alexander,WATSON,farmer,Nellie,ENGLISH,coal merchant
rec-1001-org,Agnes,WEIR,F,1752-07-27,Archibald,WEIR,agricultural worker,Helen,NEVIN,teacher- music
rec-1002-org,Roderick,OWEN,M,1755-12-16,John,OWEN,farmer,Mary,RUMBOLD,labourer
rec-1003-org,Maggie,PINNELL,F,1751-01-14,George,PINNELL,labourer,Helen,HIGHAM,builder
rec-1004-dup-0,Willyam,RUSBY,M,1746-02-18,Henry,RUSBY,labourer,Catherine,PEARCE,land owner
rec-1004-org,William,RUSBY,M,1746-02-18,Henry,RUSBY,labourer,Catherine,PEARCE,land owner
rec-1005-dup-0,Robe5t,WEST,M,1748-11-16,John,WEST,brickmaker,Mary,MARCH,farmer
rec-1005-org,Robert,WEST,M,1748-11-16,John,WEST,brickmaker,Mary,MARCH,farmer
rec-1006-org,Mary,LOCH,F,1749-11-16,Alfred,LOCH,steam roller driver,Annie,MCMILLAN,miller
rec-1007-org,Hughina,HALL,F,1751-08-15,John,HALL,greengrocer,Jane,ALLCOCK,analytical chemist
rec-1008-dup-0,Sarah,SIMPSN,F,1748-01-14,Wm,SIMPSON,dressmaker,Mary,OWENS,shipwright
rec-1008-org,Sarah,SIMPSON,F,1748-01-14,Wm,SIMPSON,dressmaker,Mary,OWENS,shipwright
rec-1009-org,James,MCANALLY,M,1753-05-17,James,MCANALLY,farrier,Elizabeth,DUNNET,fancy weaver
rec-101-dup-0,Helmen,RICH,F,1732-02-26,James,RICH,time keeper (civil engineering),Isabella,FAGAN,teacher
rec-101-org,Hellen,RICH,F,1732-02-26,James,RICH,time keeper (civil engineering),Isabella,FAGAN,teacher
rec-1010-org,Robert,MARSHALL,M,1748-09-05,John,MARSHALL,station book stall manager,Margaret,FRY,chemist
rec-1011-org,Alex,CORY,M,1772-03-14,John,CORY,cottager,Annie,JORDON,chemist
rec-1012-org,Barbra,HOWATHS,F,1749-05-17,Ed,HOWATHS,cook,Maggie,SATCHWELL,drapery salesman
rec-1013-org,Gorge,KEATES,M,1751-03-15,John,KEATES,labourer,Helen,WILKINSON,housemaid
rec-1014-org,George,HARPER,M,1747-04-08,John,HARPER,farm lab,Mary,SAGE,farmer
rec-1015-org,Annie,HOWES,F,1747-01-02,Gavin,HOWES,labourer,Jane,HOLROYD,labourer
rec-1016-dup-0,Eupbemia,MORAN,F,1748-04-03,Thomas,MORAN,ships carpenter,Isabella,MCINNES,husbandman
rec-1016-org,Euphemia,MORAN,F,1748-04-03,Thomas,MORAN,ships carpenter,Isabella,MCINNES,husbandman
rec-1017-dup-0,Mart,WRIGHT,F,1748-01-16,John,WRIGHT,iron worker,Georgeianie,BARNES,railway labourer
rec-1017-org,Mary,WRIGHT,F,1748-01-16,John,WRIGHT,iron worker,Georgeianie,BARNES,railway labourer
rec-1018-org,Mary,WRIGHT,F,1748-01-16,John,WRIGHT,iron worker,Georgeianie,BARNES,railway labourer
rec-1019-dup-0,Patrick,MOnYES,M,1752-10-25,Wm,MOYES,lock manufacturer,Hellen,HELLAM,horseman on farm
rec-1019-org,Patrick,MOYES,M,1752-10-25,Wm,MOYES,lock manufacturer,Hellen,HELLAM,horseman on farm
rec-102-dup-0,Marie,DANNILS,F,1729-07-24,Robert,DANNILS,warehouseman,Marion,LOCK,foreman mechanic
rec-102-org,Mary,DANNILS,F,1729-07-24,Robert,DANNILS,warehouseman,Marion,LOCK,foreman mechanic
rec-1020-org,Jane,SMITH,F,1756-02-09,John,SMITH,yeoman farmer,Charlotte,MCINNIS,ag lab
